summitId,latitude,longitude,elevation,candidate
2604886,27.5097,41.5486,1539.36,True
2605695,75.1758,57.825,1539.08,True
-1262517,46.8108,151.79,1538.94,True
2618586,12.1119,-12.2636,1534.25,True
-1273188,-23.4008,132.395,1531.01,True
-1273828,27.51,41.5483,1530.71,True
-1273748,12.1125,-12.2633,1530.71,True
2642947,51.2972,123.1283,1525.42,True
-1291380,-12.2158,27.8108,1519.73,True
2662447,-23.4011,132.3956,1518.3,True
-1294875,81.0633,-59.5283,1518.0,True
2663792,46.8144,151.7875,1517.79,True
-1299855,51.2975,123.1283,1514.86,True
2675373,12.575,54.0222,1513.74,True
2687820,23.2789,44.593,1509.16,True
2691609,-20.2667,-46.4344,1507.81,True
-1318193,22.8025,44.9167,1502.97,True
-1318746,-20.2683,-46.4358,1502.97,True
-1318032,12.5617,54.0175,1502.97,True
-1318229,12.575,54.0225,1502.97,True
2760152,38.3947,-79.9918,1484.0,True
2779154,76.4386,-62.2592,1477.62,True
2779590,50.8844,118.1775,1477.46,True
-1365461,50.8842,118.1758,1474.93,True
2795298,10.8881,13.7806,1472.06,True
-1376637,62.9142,176.5158,1467.92,True
-1377951,16.045,-61.6642,1467.0,True
2822471,62.9144,176.515,1462.95,True
-1387634,10.8875,13.7808,1461.82,True
2829931,16.0447,-61.6639,1460.4,True
2836419,11.9828,31.0703,1458.22,True
-1409466,11.9833,31.0708,1449.93,True
-1417451,44.4158,112.5058,1445.97,True
-1427987,17.9217,73.6717,1439.88,True
-1433900,64.9925,-165.3292,1436.83,True
